genome_id	antibiotic	phenotype	method	measurement	unit
573.93176	piperacillin/tazobactam	R	MIC	>64/4	mg/L
573.93177	piperacillin/tazobactam	R	MIC	>64/4	mg/L
573.93175	piperacillin/tazobactam	R	MIC	>64/4	mg/L
573.95507	piperacillin/tazobactam	S	MIC	<=4/4	mg/L
573.29972	fosfomycin	S	Broth dilution		
573.46835	fosfomycin	S	Broth dilution	16	mg/L
573.29912	fosfomycin	S	Broth dilution		
573.23203	fosfomycin	S	Disk diffusion		
573.31032	fosfomycin	S	Broth dilution	<=16	mg/L
573.23207	fosfomycin	S	Disk diffusion		
573.18476	fosfomycin	S	Broth dilution	==32	mg/L
573.29980	fosfomycin	S	Broth dilution		
573.29994	fosfomycin	S	Broth dilution		
573.29992	fosfomycin	S	Broth dilution		
573.29873	fosfomycin	S	Broth dilution		
573.46858	fosfomycin	S	Broth dilution	16	mg/L
573.29877	fosfomycin	S	Broth dilution		
573.29962	fosfomycin	S	Broth dilution		
573.29973	fosfomycin	R	Broth dilution		
573.29971	fosfomycin	S	Broth dilution		
573.23197	fosfomycin	S	Disk diffusion		
573.46831	fosfomycin	S	Broth dilution	8	mg/L
573.46842	fosfomycin	S	Broth dilution	16	mg/L
573.32136	fosfomycin	S	Broth dilution	<=16	mg/L
573.29863	fosfomycin	S	Broth dilution		
573.29899	fosfomycin	S	Broth dilution		
573.29951	fosfomycin	R	Broth dilution		
573.23200	fosfomycin	S	Disk diffusion		
573.29867	fosfomycin	S	Broth dilution		
573.29934	fosfomycin	S	Broth dilution		
573.29874	fosfomycin	S	Broth dilution		
573.29942	fosfomycin	S	Broth dilution		
573.23210	fosfomycin	S	Disk diffusion		
573.29967	fosfomycin	S	Broth dilution		
573.46837	fosfomycin	S	Broth dilution	4	mg/L
573.46868	fosfomycin	S	Broth dilution	<=8	mg/L
573.46867	fosfomycin	S	Broth dilution	16	mg/L
573.29964	fosfomycin	S	Broth dilution		
573.29911	fosfomycin	S	Broth dilution		
573.29948	fosfomycin	S	Broth dilution		
573.29961	fosfomycin	R	Broth dilution		
573.29947	fosfomycin	S	Broth dilution		
573.29908	fosfomycin	R	Broth dilution		
573.29976	fosfomycin	S	Broth dilution		
573.29965	fosfomycin	S	Broth dilution		
573.29935	fosfomycin	R	Broth dilution		
573.5645	fosfomycin	R	Broth dilution		
573.29865	fosfomycin	S	Broth dilution		
573.29941	fosfomycin	S	Broth dilution		
573.46876	fosfomycin	S	Broth dilution	8	mg/L
573.23212	fosfomycin	S	Disk diffusion		
573.29905	fosfomycin	S	Broth dilution		
573.29872	fosfomycin	R	Broth dilution		
573.29975	fosfomycin	S	Broth dilution		
573.46860	fosfomycin	S	Broth dilution	4	mg/L
573.46870	fosfomycin	S	Broth dilution	32	mg/L
573.46874	fosfomycin	S	Broth dilution	4	mg/L
573.29887	fosfomycin	R	Broth dilution		
573.29879	fosfomycin	S	Broth dilution		
573.29917	fosfomycin	S	Broth dilution		
573.29954	fosfomycin	R	Broth dilution		
573.23224	fosfomycin	S	Disk diffusion		
573.32134	fosfomycin	S	Broth dilution	<=16	mg/L
573.30012	fosfomycin	S	Broth dilution		
573.29923	fosfomycin	S	Broth dilution		
573.46848	fosfomycin	S	Broth dilution	32	mg/L
573.29953	fosfomycin	S	Broth dilution		
573.5781	fosfomycin	R	Broth dilution		
573.56205	fosfomycin	S	MIC	<=32	mg/L
573.29895	fosfomycin	S	Broth dilution		
573.30005	fosfomycin	S	Broth dilution		
573.29888	fosfomycin	S	Broth dilution		
573.30004	fosfomycin	S	Broth dilution		
573.23198	fosfomycin	S	Disk diffusion		
573.46849	fosfomycin	S	Broth dilution	<=8	mg/L
573.29882	fosfomycin	S	Broth dilution		
573.29866	fosfomycin	S	Broth dilution		
573.29894	fosfomycin	S	Broth dilution		
573.5644	fosfomycin	R	Broth dilution		
573.29896	fosfomycin	S	Broth dilution		
573.29916	fosfomycin	S	Broth dilution		
573.46877	fosfomycin	S	Broth dilution	16	mg/L
573.18477	fosfomycin	R	Broth dilution	==48	mg/L
573.29928	fosfomycin	S	Broth dilution		
573.29985	fosfomycin	S	Broth dilution		
573.29904	fosfomycin	R	Broth dilution		
573.29963	fosfomycin	S	Broth dilution		
573.29949	fosfomycin	R	Broth dilution		
573.29946	fosfomycin	S	Broth dilution		
573.5647	fosfomycin	R	Broth dilution		
573.46840	fosfomycin	S	Broth dilution	<=8	mg/L
573.23219	fosfomycin	S	Disk diffusion		
573.32137	fosfomycin	S	Broth dilution	==64	mg/L
573.29918	fosfomycin	S	Broth dilution		
573.29907	fosfomycin	S	Broth dilution		
573.25569	fosfomycin	R	Broth dilution		
573.30006	fosfomycin	S	Broth dilution		
573.29919	fosfomycin	S	Broth dilution		
573.29886	fosfomycin	R	Broth dilution		
573.23215	fosfomycin	S	Disk diffusion		
573.29957	fosfomycin	S	Broth dilution		
573.29981	fosfomycin	S	Broth dilution		
573.31029	fosfomycin	S	Broth dilution	<=16	mg/L
573.29913	fosfomycin	S	Broth dilution		
573.29987	fosfomycin	S	Broth dilution		
573.46851	fosfomycin	R	Broth dilution	>128	mg/L
573.29990	fosfomycin	S	Broth dilution		
573.46841	fosfomycin	S	Broth dilution	<=8	mg/L
573.29875	fosfomycin	S	Broth dilution		
573.32133	fosfomycin	S	Broth dilution	==64	mg/L
573.29876	fosfomycin	S	Broth dilution		
573.29998	fosfomycin	S	Broth dilution		
573.23202	fosfomycin	S	Disk diffusion		
573.30010	fosfomycin	S	Broth dilution		
573.29906	fosfomycin	S	Broth dilution		
573.32131	fosfomycin	S	Broth dilution	<=16	mg/L
573.69393	fosfomycin	R	MIC	<=64	mg/L
573.46857	fosfomycin	S	Broth dilution	16	mg/L
573.29936	fosfomycin	R	Broth dilution		
573.46856	fosfomycin	S	Broth dilution	4	mg/L
573.30000	fosfomycin	S	Broth dilution		
573.46854	fosfomycin	S	Broth dilution	16	mg/L
573.29993	fosfomycin	R	Broth dilution		
573.5765	fosfomycin	R	Broth dilution		
573.5764	fosfomycin	R	Broth dilution		
573.29943	fosfomycin	R	Broth dilution		
573.46832	fosfomycin	S	Broth dilution	32	mg/L
573.29996	fosfomycin	S	Broth dilution		
573.30016	fosfomycin	S	Broth dilution		
573.5777	fosfomycin	R	Broth dilution		
573.29988	fosfomycin	S	Broth dilution		
573.29926	fosfomycin	R	Broth dilution		
573.5767	fosfomycin	R	Broth dilution		
573.29891	fosfomycin	S	Broth dilution		
573.23209	fosfomycin	S	Disk diffusion		
573.29968	fosfomycin	R	Broth dilution		
573.30015	fosfomycin	S	Broth dilution		
573.31036	fosfomycin	S	Broth dilution	<=16	mg/L
573.46865	fosfomycin	S	Broth dilution	8	mg/L
